#名前,レア度,スロットサイズ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,仮番号
達芸珠【２】,5,2,,達人芸,1,,,,,,,,,,,
匠珠【３】,5,3,,匠,1,,,,,,,,,,,
運気珠【３】,5,3,,幸運,1,,,,,,,,,,,
鬼火珠【３】,5,3,,鬼火纏,1,,,,,,,,,,,
強跳珠【３】,5,3,,ジャンプ鉄人,1,,,,,,,,,,,
速射珠【３】,5,3,,速射強化,1,,,,,,,,,,,
節弾珠【２】,5,2,,弾丸節約,1,,,,,,,,,,,
斬鉄珠【２】,4,2,,業物,1,,,,,,,,,,,
散弾珠【３】,4,3,,散弾・拡散矢強化,1,,,,,,,,,,,
貫通珠【３】,4,3,,貫通弾・貫通矢強化,1,,,,,,,,,,,
強弾珠【３】,5,3,,通常弾・連射矢強化,1,,,,,,,,,,,
剛刃珠【２】,4,2,,剛刃研磨,1,,,,,,,,,,,
爆破珠【２】,4,2,,爆破属性強化,1,,,,,,,,,,,
睡眠珠【２】,5,2,,睡眠属性強化,1,,,,,,,,,,,
麻痺珠【２】,5,2,,麻痺属性強化,1,,,,,,,,,,,
全開珠【２】,5,2,,力の解放,1,,,,,,,,,,,
窮地珠【２】,5,2,,死中に活,1,,,,,,,,,,,
逆上珠【２】,5,2,,逆恨み,1,,,,,,,,,,,
無傷珠【２】,5,2,,フルチャージ,1,,,,,,,,,,,
挑戦珠【２】,4,2,,挑戦者,1,,,,,,,,,,,
痛撃珠【２】,4,2,,弱点特効,1,,,,,,,,,,,
超心珠【２】,4,2,,超会心,1,,,,,,,,,,,
装填珠【３】,4,3,,装填拡張,1,,,,,,,,,,,
守勢珠【３】,4,3,,攻めの守勢,1,,,,,,,,,,,
茸好珠【３】,4,3,,キノコ大好き,1,,,,,,,,,,,
抜刀珠【３】,4,3,,抜刀術【技】,1,,,,,,,,,,,
射法珠【２】,4,2,,弾導強化,1,,,,,,,,,,,
属会珠【２】,4,2,,会心撃【属性】,1,,,,,,,,,,,
砲術珠【２】,4,2,,砲術,1,,,,,,,,,,,
強走珠【２】,4,2,,ランナー,1,,,,,,,,,,,
短縮珠【２】,4,2,,集中,1,,,,,,,,,,,
心眼珠【２】,4,2,,心眼,1,,,,,,,,,,,
底力珠【２】,4,2,,火事場力,1,,,,,,,,,,,
特射珠【２】,4,2,,特殊射撃強化,1,,,,,,,,,,,
増弾珠【２】,4,2,,砲弾装填,1,,,,,,,,,,,
強壁珠【２】,4,2,,ガード強化,1,,,,,,,,,,,
鉄壁珠【２】,6,2,,ガード性能,1,,,,,,,,,,,
早気珠【２】,6,2,,スタミナ急速回復,1,,,,,,,,,,,
昂揚珠【２】,7,2,,強化持続,1,,,,,,,,,,,
渾身珠【２】,7,2,,渾身,1,,,,,,,,,,,
攻撃珠【２】,7,2,,攻撃,1,,,,,,,,,,,
達人珠【２】,7,2,,見切り,1,,,,,,,,,,,
速変珠【２】,6,2,,高速変形,1,,,,,,,,,,,
抑反珠【１】,6,1,,反動軽減,1,,,,,,,,,,,
鈍器珠【２】,6,2,,鈍器使い,1,,,,,,,,,,,
早填珠【１】,6,1,,装填速度,1,,,,,,,,,,,
耐絶珠【１】,6,1,,気絶耐性,1,,,,,,,,,,,
耐震珠【２】,6,2,,耐震,1,,,,,,,,,,,
防音珠【３】,6,3,,耳栓,1,,,,,,,,,,,
逆襲珠【２】,6,2,,逆襲,1,,,,,,,,,,,
泡沫珠【２】,6,2,,泡沫の舞,1,,,,,,,,,,,
点射珠【１】,6,1,,ブレ抑制,1,,,,,,,,,,,
抜打珠【２】,5,2,,抜刀術【力】,1,,,,,,,,,,,
跳躍珠【２】,5,2,,回避距離ＵＰ,1,,,,,,,,,,,
回避珠【２】,5,2,,回避性能,1,,,,,,,,,,,
耐衝珠【１】,5,1,,ひるみ軽減,1,,,,,,,,,,,
速納珠【２】,5,2,,納刀術,1,,,,,,,,,,,
防風珠【１】,5,1,,風圧耐性,1,,,,,,,,,,,
ＫＯ珠【２】,5,2,,ＫＯ術,1,,,,,,,,,,,
友愛珠【２】,5,2,,広域化,1,,,,,,,,,,,
重撃珠【２】,5,2,,破壊王,1,,,,,,,,,,,
耐属珠【２】,5,2,,属性やられ耐性,1,,,,,,,,,,,
早食珠【２】,2,2,,早食い,1,,,,,,,,,,,
加護珠【２】,5,2,,精霊の加護,1,,,,,,,,,,,
壁走珠【２】,5,2,,壁面移動,1,,,,,,,,,,,
翔蟲珠【２】,5,2,,翔蟲使い,1,,,,,,,,,,,
研磨珠【１】,5,1,,砥石使用高速化,1,,,,,,,,,,,
持続珠【２】,4,2,,アイテム使用強化,1,,,,,,,,,,,
早復珠【１】,4,1,,回復速度,1,,,,,,,,,,,
治癒珠【２】,4,2,,体力回復量ＵＰ,1,,,,,,,,,,,
鼓笛珠【１】,4,1,,笛吹き名人,1,,,,,,,,,,,
奪気珠【１】,4,1,,スタミナ奪取,1,,,,,,,,,,,
体術珠【２】,4,2,,体術,1,,,,,,,,,,,
毒珠【１】,4,1,,毒属性強化,1,,,,,,,,,,,
滑走珠【１】,7,1,,滑走強化,1,,,,,,,,,,,
爆師珠【１】,7,1,,ボマー,1,,,,,,,,,,,
火炎珠【１】,7,1,,火属性攻撃強化,1,,,,,,,,,,,
流水珠【１】,7,1,,水属性攻撃強化,1,,,,,,,,,,,
雷光珠【１】,5,1,,雷属性攻撃強化,1,,,,,,,,,,,
氷結珠【１】,6,1,,氷属性攻撃強化,1,,,,,,,,,,,
破龍珠【１】,6,1,,龍属性攻撃強化,1,,,,,,,,,,,
防御珠【１】,6,1,,防御,1,,,,,,,,,,,
皮剥珠【１】,6,1,,剥ぎ取り鉄人,1,,,,,,,,,,,
乗慣珠【２】,7,2,,乗り名人,1,,,,,,,,,,,
無食珠【１】,6,1,,腹減り耐性,1,,,,,,,,,,,
節食珠【１】,6,1,,満足感,1,,,,,,,,,,,
泥雪珠【１】,6,1,,泥雪耐性,1,,,,,,,,,,,
陽動珠【１】,6,1,,陽動,1,,,,,,,,,,,
飛込珠【１】,6,1,,飛び込み,1,,,,,,,,,,,
逆境珠【２】,6,2,,不屈,1,,,,,,,,,,,
地学珠【１】,7,1,,地質学,1,,,,,,,,,,,
植学珠【１】,6,1,,植生学,1,,,,,,,,,,,
耐爆珠【１】,6,1,,爆破やられ耐性,1,,,,,,,,,,,
耐眠珠【１】,6,1,,睡眠耐性,1,,,,,,,,,,,
耐麻珠【１】,7,1,,麻痺耐性,1,,,,,,,,,,,
耐毒珠【１】,7,1,,毒耐性,1,,,,,,,,,,,
耐火珠【１】,7,1,,火耐性,1,,,,,,,,,,,
耐水珠【１】,7,1,,水耐性,1,,,,,,,,,,,
耐雷珠【１】,7,1,,雷耐性,1,,,,,,,,,,,
耐氷珠【１】,7,1,,氷耐性,1,,,,,,,,,,,
耐龍珠【１】,6,1,,龍耐性,1,,,,,,,,,,,
耐火珠Ⅲ【４】,,4,,火耐性,3,,,,,,,,,,,
耐水珠Ⅲ【４】,,4,,水耐性,3,,,,,,,,,,,
耐氷珠Ⅲ【４】,,4,,氷耐性,3,,,,,,,,,,,
耐雷珠Ⅲ【４】,,4,,雷耐性,3,,,,,,,,,,,
耐龍珠Ⅲ【４】,,4,,龍耐性,3,,,,,,,,,,,
植学珠Ⅲ【４】,,4,,植生学,3,,,,,,,,,,,
地学珠Ⅲ【４】,,4,,地質学,3,,,,,,,,,,,
節食珠Ⅲ【４】,,4,,満足感,3,,,,,,,,,,,
奪気珠Ⅲ【４】,,4,,スタミナ奪取,3,,,,,,,,,,,
持続珠Ⅲ【４】,,4,,アイテム使用強化,3,,,,,,,,,,,
無食珠Ⅲ【４】,,4,,腹減り耐性,3,,,,,,,,,,,
火炎珠Ⅱ【２】,,2,,火属性攻撃強化,2,,,,,,,,,,,
火炎珠Ⅲ【３】,,3,,火属性攻撃強化,3,,,,,,,,,,,
流水珠Ⅱ【２】,,2,,水属性攻撃強化,2,,,,,,,,,,,
流水珠Ⅲ【３】,,3,,水属性攻撃強化,3,,,,,,,,,,,
氷結珠Ⅱ【２】,,2,,氷属性攻撃強化,2,,,,,,,,,,,
氷結珠Ⅲ【３】,,3,,氷属性攻撃強化,3,,,,,,,,,,,
雷光珠Ⅱ【２】,,2,,雷属性攻撃強化,2,,,,,,,,,,,
雷光珠Ⅲ【３】,,3,,雷属性攻撃強化,3,,,,,,,,,,,
破龍珠Ⅱ【２】,,2,,龍属性攻撃強化,2,,,,,,,,,,,
破龍珠Ⅲ【３】,,3,,龍属性攻撃強化,3,,,,,,,,,,,
防御珠Ⅱ【２】,,2,,防御,2,,,,,,,,,,,
防御珠Ⅲ【３】,,3,,防御,3,,,,,,,,,,,
防御珠Ⅴ【４】,,4,,防御,5,,,,,,,,,,,
爆師珠Ⅲ【４】,,4,,ボマー,3,,,,,,,,,,,
研磨珠Ⅲ【４】,,4,,砥石使用高速化,3,,,,,,,,,,,
治癒珠Ⅱ【４】,,4,,体力回復量ＵＰ,2,,,,,,,,,,,
体術珠Ⅱ【４】,,4,,体術,2,,,,,,,,,,,
翔蟲珠Ⅱ【４】,,4,,翔蟲使い,2,,,,,,,,,,,
壁走珠Ⅲ【４】,,4,,壁面移動,3,,,,,,,,,,,
早復珠Ⅲ【４】,,4,,回復速度,3,,,,,,,,,,,
加護珠Ⅱ【４】,,4,,精霊の加護,2,,,,,,,,,,,
早食珠Ⅱ【４】,,4,,早食い,2,,,,,,,,,,,
耐属珠Ⅱ【４】,,4,,属性やられ耐性,2,,,,,,,,,,,
友愛珠Ⅲ【３】,,3,,広域化,3,,,,,,,,,,,
友愛珠Ⅳ【４】,,4,,広域化,4,,,,,,,,,,,
回避珠Ⅱ【４】,,4,,回避性能,2,,,,,,,,,,,
抜打珠Ⅱ【４】,,4,,抜刀術【力】,2,,,,,,,,,,,
耐衝珠Ⅲ【４】,,4,,ひるみ軽減,3,,,,,,,,,,,
泡沫珠Ⅱ【４】,,4,,泡沫の舞,2,,,,,,,,,,,
KO珠Ⅱ【４】,,4,,ＫＯ術,2,,,,,,,,,,,
跳躍珠Ⅱ【４】,,4,,回避距離ＵＰ,2,,,,,,,,,,,
防風珠Ⅲ【４】,,4,,風圧耐性,3,,,,,,,,,,,
早気珠Ⅱ【４】,,4,,スタミナ急速回復,2,,,,,,,,,,,
鉄壁珠Ⅱ【３】,,3,,ガード性能,2,,,,,,,,,,,
強壁珠Ⅱ【４】,,4,,ガード強化,2,,,,,,,,,,,
射法珠Ⅱ【４】,,4,,弾導強化,2,,,,,,,,,,,
属会珠Ⅱ【４】,,4,,会心撃【属性】,2,,,,,,,,,,,
短縮珠Ⅱ【４】,,4,,集中,2,,,,,,,,,,,
強走珠Ⅱ【４】,,4,,ランナー,2,,,,,,,,,,,
抜刀珠Ⅱ【４】,,4,,抜刀術【技】,2,,,,,,,,,,,
茸好珠Ⅱ【４】,,4,,キノコ大好き,2,,,,,,,,,,,
耐絶珠Ⅲ【４】,,4,,気絶耐性,3,,,,,,,,,,,
心眼珠Ⅱ【４】,,4,,心眼,2,,,,,,,,,,,
防音珠Ⅱ【４】,,4,,耳栓,2,,,,,,,,,,,
昂揚珠Ⅱ【４】,,4,,強化持続,2,,,,,,,,,,,
耐震珠Ⅱ【４】,,4,,耐震,2,,,,,,,,,,,
鬼火珠Ⅱ【４】,,4,,鬼火纏,2,,,,,,,,,,,
運気珠Ⅱ【４】,,4,,幸運,2,,,,,,,,,,,
刃鱗珠【２】,,2,,刃鱗磨き,1,,,,,,,,,,,
壁翔珠【１】,,1,,壁面移動【翔】,1,,,,,,,,,,,
合気珠【３】,,3,,合気,1,,,,,,,,,,,
息吹珠【３】,,3,,疾之息吹,1,,,,,,,,,,,
強弓珠【４】,,4,,弓溜め段階解放,1,,,,,,,,,,,
点射珠Ⅱ【４】,,4,,ブレ抑制,2,,,,,,,,,,,
点射珠Ⅲ【４】,,4,,ブレ抑制,3,,,,,,,,,,,
速変珠Ⅱ【４】,,4,,高速変形,2,,,,,,,,,,,
増弾珠Ⅱ【４】,,4,,砲弾装填,2,,,,,,,,,,,
特射珠Ⅱ【４】,,4,,特殊射撃強化,2,,,,,,,,,,,
砲術珠Ⅱ【４】,,4,,砲術,2,,,,,,,,,,,
溜幅珠【２】,,2,,チャージマスター,1,,,,,,,,,,,
速納珠Ⅱ【４】,,4,,納刀術,2,,,,,,,,,,,
窮地珠Ⅱ【４】,,4,,死中に活,2,,,,,,,,,,,
盤石珠【１】,,1,,顕如盤石,1,,,,,,,,,,,
重撃珠Ⅱ【４】,,4,,破壊王,2,,,,,,,,,,,
逆襲珠Ⅱ【４】,,4,,逆襲,2,,,,,,,,,,,
剛刃珠Ⅱ【４】,,4,,剛刃研磨,2,,,,,,,,,,,
毒珠Ⅲ【４】,,4,,毒属性強化,3,,,,,,,,,,,
斬鉄珠Ⅱ【４】,,4,,業物,2,,,,,,,,,,,
巧緻珠【３】,,3,,チューンアップ,1,,,,,,,,,,,
耐毒珠Ⅲ【４】,,4,,毒耐性,3,,,,,,,,,,,
耐麻珠Ⅲ【４】,,4,,麻痺耐性,3,,,,,,,,,,,
耐眠珠Ⅲ【４】,,4,,睡眠耐性,3,,,,,,,,,,,
耐爆珠Ⅲ【４】,,4,,爆破やられ耐性,3,,,,,,,,,,,
達芸珠Ⅱ【４】,,4,,達人芸,2,,,,,,,,,,,
供応珠【１】,,1,,供応,1,,,,,,,,,,,
研鋭珠【３】,,3,,研磨術【鋭】,1,,,,,,,,,,,
転福珠【２】,,2,,災禍転福,1,,,,,,,,,,,
麻痺珠Ⅱ【４】,,4,,麻痺属性強化,2,,,,,,,,,,,
睡眠珠Ⅱ【４】,,4,,睡眠属性強化,2,,,,,,,,,,,
爆破珠Ⅱ【４】,,4,,爆破属性強化,2,,,,,,,,,,,
攻勢珠【２】,,2,,攻勢,1,,,,,,,,,,,
渾身珠Ⅱ【４】,,4,,渾身,2,,,,,,,,,,,
連撃珠【２】,,2,,連撃,1,,,,,,,,,,,
転福珠Ⅱ【４】,,4,,災禍転福,2,,,,,,,,,,,
霞皮珠【１】,,1,,霞皮の恩恵,1,,,,,,,,,,,
火炎珠Ⅳ【４】,,4,,火属性攻撃強化,4,,,,,,,,,,,
流水珠Ⅳ【４】,,4,,水属性攻撃強化,4,,,,,,,,,,,
氷結珠Ⅳ【４】,,4,,氷属性攻撃強化,4,,,,,,,,,,,
雷光珠Ⅳ【４】,,4,,雷属性攻撃強化,4,,,,,,,,,,,
破龍珠Ⅳ【４】,,4,,龍属性攻撃強化,4,,,,,,,,,,,
匠珠Ⅱ【４】,,4,,匠,2,,,,,,,,,,,
貫通珠Ⅱ【４】,,4,,貫通弾・貫通矢強化,2,,,,,,,,,,,
強弾珠Ⅱ【４】,,4,,通常弾・連射矢強化,2,,,,,,,,,,,
散弾珠Ⅱ【４】,,4,,散弾・拡散矢強化,2,,,,,,,,,,,
全開珠Ⅱ【４】,,4,,力の解放,2,,,,,,,,,,,
無傷珠Ⅱ【４】,,4,,フルチャージ,2,,,,,,,,,,,
合気珠Ⅱ【４】,,4,,合気,2,,,,,,,,,,,
鋼殻珠【１】,,1,,鋼殻の恩恵,1,,,,,,,,,,,
炎鱗珠【１】,,1,,炎鱗の恩恵,1,,,,,,,,,,,
守勢珠Ⅱ【４】,,4,,攻めの守勢,2,,,,,,,,,,,
属撃珠【２】,,2,,弱点特効【属性】,1,,,,,,,,,,,
反攻珠【２】,,2,,巧撃,1,,,,,,,,,,,
背撃珠【２】,,2,,闇討ち,1,,,,,,,,,,,
溜幅珠Ⅱ【４】,,4,,チャージマスター,2,,,,,,,,,,,
巧緻珠Ⅱ【４】,,4,,チューンアップ,2,,,,,,,,,,,
血氣珠【３】,,3,,血氣,1,,,,,,,,,,,
研鋭珠Ⅱ【４】,,4,,研磨術【鋭】,2,,,,,,,,,,,
連撃珠Ⅱ【４】,,4,,連撃,2,,,,,,,,,,,
底力珠Ⅱ【４】,,4,,火事場力,2,,,,,,,,,,,
翻異珠【３】,,3,,状態異常確定蓄積,1,,,,,,,,,,,
反攻珠Ⅱ【４】,,4,,巧撃,2,,,,,,,,,,,
剛心珠【１】,,1,,剛心,1,,,,,,,,,,,
背撃珠Ⅱ【４】,,4,,闇討ち,2,,,,,,,,,,,
攻勢珠Ⅱ【４】,,4,,攻勢,2,,,,,,,,,,,
盤石珠Ⅲ【４】,,4,,顕如盤石,3,,,,,,,,,,,
属撃珠Ⅱ【４】,,4,,弱点特効【属性】,2,,,,,,,,,,,
龍気珠【４】,,4,,龍気活性,1,,,,,,,,,,,
逆上珠Ⅱ【４】,,4,,逆恨み,2,,,,,,,,,,,
煽衛珠【２】,,2,,煽衛,1,,,,,,,,,,,
攻撃珠Ⅱ【４】,,4,,攻撃,2,,,,,,,,,,,
達人珠Ⅱ【４】,,4,,見切り,2,,,,,,,,,,,
翻異珠Ⅱ【４】,,4,,状態異常確定蓄積,2,,,,,,,,,,,
剛心珠Ⅱ【３】,,3,,剛心,2,,,,,,,,,,,
煽衛珠Ⅱ【４】,,4,,煽衛,2,,,,,,,,,,,
狂蝕珠【４】,,4,,狂竜症【蝕】,1,,,,,,,,,,,
装填珠Ⅱ【４】,,4,,装填拡張,2,,,,,,,,,,,
挑戦珠Ⅱ【４】,,4,,挑戦者,2,,,,,,,,,,,
刃鱗珠Ⅱ【４】,,4,,刃鱗磨き,2,,,,,,,,,,,
緩衝珠【１】,,1,,緩衝,1,,,,,,,,,,,
節弾珠Ⅱ【４】,,4,,弾丸節約,2,,,,,,,,,,,
血氣珠Ⅱ【４】,,4,,血氣,2,,,,,,,,,,,
激励珠【１】,,1,,激励,1,,,,,,,,,,,
1スロ珠【１】,,1,,1スロ,1,,,,,,,,,,,
2スロ珠【２】,,2,,2スロ,1,,,,,,,,,,,
3スロ珠【３】,,3,,3スロ,1,,,,,,,,,,,
4スロ珠【４】,,4,,4スロ,1,,,,,,,,,,,
